Iterations,Seconds,Score
411870000,1746737850,1.496094
411880000,1746737850,1.496094
411890000,1746737851,1.496094
411900000,1746737851,1.496094
411910000,1746737851,1.496094
411920000,1746737852,1.496094
411930000,1746737852,1.496094
411940000,1746737853,1.496094
411950000,1746737853,1.496094
411960000,1746737854,1.496094
411970000,1746737854,1.496094
411980000,1746737854,1.496094
411990000,1746737855,1.496094
412000000,1746737855,1.496094
412010000,1746737856,1.496094
412020000,1746737856,1.496094
412030000,1746737857,1.496094
412040000,1746737857,1.496094
412050000,1746737858,1.496094
412060000,1746737858,1.496094
412070000,1746737859,1.496094
412080000,1746737859,1.496094
412090000,1746737859,1.496094
412100000,1746737860,1.496094
412110000,1746737860,1.496094
412120000,1746737861,1.496094
412130000,1746737861,1.496094
412140000,1746737862,1.496094
412150000,1746737862,1.496094
412160000,1746737863,1.496094
412170000,1746737863,1.496094
412180000,1746737863,1.496094
412190000,1746737864,1.496094
412200000,1746737864,1.496094
412210000,1746737865,1.496094
412220000,1746737865,1.496094
412230000,1746737866,1.496094
412240000,1746737866,1.496094
412250000,1746737867,1.496094
412260000,1746737867,1.496094
412270000,1746737867,1.496094
